FII_TICKER,FII_NAME,FII_CNPJ
VGIR11,VALORA CRI CDI FII-UNICA,29852732000191
VGIR12,VALORA CRI CDI FII-UNICA,29852732000191
VIFI11,VINCI INSTRUMENTOS FINANCEIROS FUNDO DE,31547855000160
VILG11,FII VINCI LOGISTICA-UNICA,24853044000122
VINO11,VINCI OFFICES FII-UNICA,12516185000170
VISC11,VINCI SHOPPING CENTERS FUNDO D-UNICA,17554274000125
VIUR11,VINCI IMOVEIS URBANOS FUNDO DE,36445587000190
VLJS11,VECTOR LAJES FII,13842683000176
VLOL11,FII VILA OLIMPIA CORPORATE,15296696000112
VOTS11,VOT SECURITIES MASTER FII-UNICA,17870926000130
VPSI11,FII POLO SHOPPING INDAIATUBA-UNICA,14721889000100
VRTA11,FATOR VERITA FUNDO DE INVESTIM-UNICA,11664201000100
VSEC11,FI IMOBILIARIO VOTORANTIM SECURITIES,10347505000180
VSHO11,FII VOTORANTIM SHOPPING,23740595000117
VSLH11,VERSALHES RECEBIVEIS IMOBILIARIOS - FI IMOBILIARIO,36244015000142
VTLT11,FII LOGISTICA,27368600000163
VVCO11,V2 EDIFICIOS CORPORATIVOS FII-UNICA,15006267000163
VVCO12,V2 EDIFICIOS CORPORATIVOS FII-UNICA,15006267000163
VXXV11,GENESIS MULTIESTRATEGIA FII-UNICA,30982974000189
WHGR11,WHG REAL ESTATE FII-CLASSE UN,41256643000188
WPLZ11,SHOPPING WEST PLAZA FII-UNICA,09326861000139
WSEC11,WARREN SECURITIES FI IMOBILIÁRIO - FII,43440579000116
WTSP11B,FI IMOBILIARIO - OURI,28693595000127
XPCI11,XP CRED IMOB - FII-UNICA,28516301000191
XPCM11,XP CORPORATE MACAE FII-UNICA,16802320000103
XPHT11,VRE HOTEIS - FII - FII HIBRIDO GESTAO AT,18308516000163
XPHT12,VRE HOTEIS - FII - FII HIBRIDO GESTAO AT,18308516000163
XPIN11,XP INDUSTRIAL FII,28516325000140
XPLG11,FII XP LOG,26502794000185
XPML11,XP MALLS FI-UNICA,28757546000100
XPPR11,FII XP PROPERTIES,30654849000140
XPSF11,XP SELECTION FII-UNICA,30983020000190
YUFI11,YUCA FII-UNICA,36445551000106
ZAVI11,ZAVIT REAL ESTATE FUND FII-UNICA,40575940000123
ZIFI11,ZION CAPITAL FII-UNICA,35820768000196
